method,n_molecules,rank_by_reward,reward,nearest_neighbour_sim,mean_pct_library_above_tau,smiles
"hub-batching (ours)",82,24,7.4426,0.4949,0.0000,"O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"hub-batching (ours)",82,25,8.3098,0.4692,0.0000,"O=C(NC1CC1)c1ccc(Cn2cc(CNc3ccc(NC(=O)C4CNC4)cc3)c3ccccc32)cc1"
"hub-batching (ours)",82,26,7.3372,0.4767,0.0000,"c1ccc(CNCc2ccc3nc(C4CNC4)[nH]c3c2)cc1"
"hub-batching (ours)",82,27,7.2485,0.4783,0.0000,"O=C(Nc1ccc(N(Cc2c[nH]c3ccccc23)C(=O)c2ccc3nc(C4CNC4)[nH]c3c2)cc1)C1CNC1"
"hub-batching (ours)",82,28,7.6027,0.4941,0.0000,"c1cc2oc(C3CCN3)nc2cc1CNC12CC(C1)C2"
"hub-batching (ours)",82,29,7.5416,0.4778,0.0000,"c1ccc2oc(-c3ccc(-c4nnn(CC5CC5)n4)nc3)nc2c1"
"hub-batching (ours)",82,30,7.7082,0.4471,0.0000,"c1ccc2c(c1)CCN=C2c1ccc2nc(C3CNC3)oc2c1"
"hub-batching (ours)",82,31,7.3434,0.4891,0.0000,"CC(NC(=O)c1ccc2[nH]c(C3CNC3)nc2c1)c1ccccc1"
"hub-batching (ours)",82,32,8.0237,0.4947,0.0000,"O=C(Nc1ccc(-c2cn(CC3CC3)cn2)cc1)C1Cc2ccccc2CN1"
"hub-batching (ours)",82,33,7.7577,0.5000,0.0000,"O=C(Nc1ccnc2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"hub-batching (ours)",82,34,7.4283,0.4945,0.0000,"N#Cc1ccc(C(=O)Nc2ccc(-c3cn(CC4CC4)cn3)cc2)cn1"
"hub-batching (ours)",82,35,8.1362,0.5000,0.0000,"c1cc(-c2cn(CC3CC3)cn2)ccc1NCC1CCN1"
"hub-batching (ours)",82,36,7.8089,0.4730,0.0000,"O=C(NC1CC1)c1ccc2nc(C3CNC3)[nH]c2c1"
"hub-batching (ours)",82,37,7.2301,0.5000,0.0000,"O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"hub-batching (ours)",82,38,7.9563,0.5000,0.0000,"NC(C(=O)Nc1ccc(-c2cn(CC3CC3)cn2)cc1)c1ccccc1"
"hub-batching (ours)",82,39,7.0382,0.4607,0.0000,"Brc1ccc2[nH]c(-c3ccc4nc(C5CNC5)oc4c3)nc2c1"
"hub-batching (ours)",82,40,7.1409,0.4894,0.0000,"CC(NC(=O)c1ccc2oc(C3CCN3)nc2c1)c1ccccc1"
"hub-batching (ours)",82,41,7.2914,0.4767,0.0000,"c1nc(-c2ccc(NCc3ccc4nc(C5CNC5)[nH]c4c3)cc2)c[nH]1"
"hub-batching (ours)",82,42,7.1058,0.4941,0.0000,"c1nc(-c2ccc(NCc3ccc4oc(C5CCN5)nc4c3)cc2)c[nH]1"
"hub-batching (ours)",82,43,7.9455,0.5000,0.0000,"O=C(Nc1ccc(-c2cn(CC3CC3)cn2)cc1)Nc1ccnc2ccccc12"
"hub-batching (ours)",82,44,7.3880,0.4886,0.0000,"O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc2[nH]c(C3CNC3)nc2c1"
"hub-batching (ours)",82,45,7.9075,0.4821,0.0000,"c1ccc2c(CNc3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)c[nH]c2c1"
"hub-batching (ours)",82,46,7.4295,0.5000,0.0000,"O=C(Nc1ccnc2ccccc12)c1ccc2[nH]c(C3CNC3)nc2c1"
"hub-batching (ours)",82,47,7.1754,0.4675,0.0000,"Fc1ccc2oc(-c3ccc4oc(C5CNC5)nc4c3)nc2c1"
"hub-batching (ours)",82,48,7.1045,0.4796,0.0000,"O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1ccc2[nH]c(C3CNC3)nc2c1"
"hub-batching (ours)",82,49,7.3036,0.5000,0.0000,"O=C(Nc1ccnc2ccccc12)c1ccc2oc(C3CCN3)nc2c1"
"hub-batching (ours)",82,50,7.0290,0.4607,0.0000,"COc1ccc2[nH]c(-c3ccc4oc(C5CNC5)nc4c3)nc2c1"
"hub-batching (ours)",82,51,7.4420,0.4672,0.0000,"N#Cc1ccc(Cn2cc(CNC(=O)Nc3ccc(-c4cn(CC5CC5)cn4)cc3)c3ccccc32)cc1"
"hub-batching (ours)",82,52,7.7329,0.4808,0.0000,"c1ccc2c(CNc3ccc(NCc4ccc5[nH]c(C6CNC6)nc5c4)cc3)c[nH]c2c1"
"hub-batching (ours)",82,53,7.0171,0.4945,0.0000,"O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc2nc(C3CNC3)oc2c1"
"hub-batching (ours)",82,54,7.2252,0.4471,0.0000,"c1ccc2oc(-c3ccc4nc(C5CNC5)oc4c3)nc2c1"
"hub-batching (ours)",82,55,7.3618,0.4845,0.0000,"O=C(NCCc1c[nH]c2ccccc12)c1ccc2[nH]c(C3CNC3)nc2c1"
"hub-batching (ours)",82,56,7.0697,0.4725,0.0000,"O=C(c1ccc2oc(C3CNC3)nc2c1)N1CC(c2nc3cc(Br)ccc3o2)C1"
"hub-batching (ours)",82,57,7.0907,0.4938,0.0000,"O=C(OC1CN2CCC1CC2)c1ccc2nc(C3CNC3)oc2c1"
"hub-batching (ours)",82,58,7.0306,0.4898,0.0000,"COc1ccccc1CCNCc1ccc2nc(C3CNC3)oc2c1"
"hub-batching (ours)",82,59,7.6690,0.4907,0.0000,"O=C(NCCc1c[nH]c2ccccc12)Nc1ccc(-c2cn(CC3CC3)cn2)cc1"
"hub-batching (ours)",82,60,7.3987,0.4860,0.0000,"N#Cc1ccc(Cn2cc(CNC(=O)c3ccc4[nH]c(C5CNC5)nc4c3)c3ccccc32)cc1"
"hub-batching (ours)",82,61,7.1837,0.5000,0.0000,"O=C(Nc1cccc2cc[nH]c12)c1ccc2oc(C3CNC3)nc2c1"
"hub-batching (ours)",82,62,7.3038,0.4675,0.0000,"c1cncc(-c2ccc3oc(C4CNC4)nc3c2)c1"
"hub-batching (ours)",82,63,7.1711,0.4769,0.0000,"C#Cc1ccc2oc(C3CNC3)nc2c1"
"hub-batching (ours)",82,64,7.4439,0.4884,0.0000,"c1ccc2c(NCc3ccc4nc(C5CNC5)oc4c3)ccnc2c1"
"hub-batching (ours)",82,65,7.4223,0.5000,0.0000,"CC(Nc1ccc2oc(C3CNC3)nc2c1)c1ccccc1"
"hub-batching (ours)",82,66,7.6354,0.4884,0.0000,"c1cc2nc(C3CNC3)oc2cc1CNC12CC(C1)C2"
"hub-batching (ours)",82,67,7.6458,0.5000,0.0000,"c1cc2oc(C3CNC3)nc2cc1NC12CC(C1)C2"
"hub-batching (ours)",82,68,7.4687,0.4804,0.0000,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CCN3)nc2c1"
"hub-batching (ours)",82,69,7.0870,0.4911,0.0000,"O=C(O)c1ccc2oc(C3CN(C(=O)Nc4ccc(-c5cn(CC6CC6)cn5)cc4)C3)nc2c1"
"hub-batching (ours)",82,70,7.3965,0.4898,0.0000,"c1ccc2c(CNCc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"hub-batching (ours)",82,71,7.2579,0.4904,0.0000,"COc1ccccc1CNc1ccc2oc(C3CNC3)nc2c1"
"hub-batching (ours)",82,72,7.2569,0.4904,0.0000,"N#Cc1ccc(Cn2cc(CNc3ccc4oc(C5CNC5)nc4c3)c3ccccc32)cc1"
"hub-batching (ours)",82,73,7.0010,0.4773,0.0000,"O=C(O)c1ccc2oc(C3CN(Cc4ccc5oc(C6CNC6)nc5c4)C3)nc2c1"
"hub-batching (ours)",82,74,7.7929,0.4945,0.0000,"O=C(NC1CC1)c1ccc2nc(C3CNC3)oc2c1"
"hub-batching (ours)",82,75,7.2912,0.4783,0.0000,"O=C(NC1CC1)c1ccc(COC(=O)c2ccc3oc(C4CNC4)nc3c2)cc1"
"hub-batching (ours)",82,76,7.3720,0.4842,0.0000,"c1ccc(NCc2ccc3oc(C4CNC4)nc3c2)nc1"
"hub-batching (ours)",82,77,7.3663,0.4741,0.0000,"c1ccc2c(CCNc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"hub-batching (ours)",82,78,7.7719,0.4741,0.0000,"O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CN(Cc2ccc3oc(C4CNC4)nc3c2)C1"
"hub-batching (ours)",82,79,7.6647,0.5000,0.0000,"O=C(NCc1ccccc1)c1ccc2oc(C3CNC3)nc2c1"
"hub-batching (ours)",82,80,8.4038,0.4945,0.0000,"c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1"
"hub-batching (ours)",82,81,8.3237,0.4861,0.0000,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=0",98,0,8.0279,0.5256,94.0248,"c1cc(-c2nnn(CC3CC3)n2)ccc1COC1CN2CCC1CC2"
"BC-Enum-SB  λ=0",98,1,7.9279,0.5256,94.0248,"c1cc(-c2nnn(CC3CC3)n2)ccc1COCC1CNC1"
"BC-Enum-SB  λ=0",98,2,8.0065,0.7573,94.0248,"c1ccc2c(c1)CNC(CNCc1cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc13)C2"
"BC-Enum-SB  λ=0",98,3,7.9849,0.7573,94.0248,"c1ccc2c(c1)c(CNCC1CCN1)cn2Cc1ccc(-c2nnn(CC3CC3)n2)cc1"
"BC-Enum-SB  λ=0",98,4,8.1162,0.7619,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1Cc2ccccc2CN1"
"BC-Enum-SB  λ=0",98,5,7.7447,0.7404,94.0248,"CC(NC(=O)NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccccc1"
"BC-Enum-SB  λ=0",98,6,7.7743,0.7429,94.0248,"O=C(NCc1c[nH]c2ccccc12)NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12"
"BC-Enum-SB  λ=0",98,7,7.8484,0.7661,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)Nc1ccnc2ccccc12"
"BC-Enum-SB  λ=0",98,8,8.0402,0.7553,94.0248,"c1ccc2c(c1)c(CNC1CNC1)cn2Cc1ccc(-c2nnn(CC3CC3)n2)cc1"
"BC-Enum-SB  λ=0",98,9,7.7842,0.7541,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)Nc1cccc2ccccc12"
"BC-Enum-SB  λ=0",98,10,7.7494,0.8456,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)NCCc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=0",98,11,7.7639,0.8456,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NCCc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=0",98,12,7.8865,0.7227,94.0248,"NC(C(=O)NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccccc1"
"BC-Enum-SB  λ=0",98,13,7.7700,0.7800,94.0248,"O=C(NCc1ccco1)NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12"
"BC-Enum-SB  λ=0",98,14,8.1308,0.8195,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(C3Cc4ccccc4CN3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,15,8.0445,0.8409,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NCC1Cc2ccccc2CN1"
"BC-Enum-SB  λ=0",98,16,8.1333,0.8195,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(C3Cc4ccccc4CN3)nc2c1"
"BC-Enum-SB  λ=0",98,17,7.7569,0.8209,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccc(C(F)(F)F)cn3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,18,7.7848,0.8209,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccc(C(F)(F)F)cn3)nc2c1"
"BC-Enum-SB  λ=0",98,19,7.7902,0.7500,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)Nc1ccccn1"
"BC-Enum-SB  λ=0",98,20,7.9927,0.8409,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NCC1Cc2ccccc2CN1"
"BC-Enum-SB  λ=0",98,21,7.7972,0.8182,94.0248,"N#Cc1ccc(-c2nc3ccc(C(=O)NCc4cn(Cc5ccc(-c6nnn(CC7CC7)n6)cc5)c5ccccc45)cc3[nH]2)cn1"
"BC-Enum-SB  λ=0",98,22,7.8373,0.8182,94.0248,"N#Cc1ccc(-c2nc3cc(C(=O)NCc4cn(Cc5ccc(-c6nnn(CC7CC7)n6)cc5)c5ccccc45)ccc3[nH]2)cn1"
"BC-Enum-SB  λ=0",98,23,7.8036,0.8182,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccncc3F)[nH]c2c1"
"BC-Enum-SB  λ=0",98,24,7.8319,0.8168,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3c[nH]c4ccccc34)[nH]c2c1"
"BC-Enum-SB  λ=0",98,25,7.8389,0.8182,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccncc3F)nc2c1"
"BC-Enum-SB  λ=0",98,26,7.9942,0.7653,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)NC12CC(C1)C2"
"BC-Enum-SB  λ=0",98,27,7.8442,0.8168,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3c[nH]c4ccccc34)nc2c1"
"BC-Enum-SB  λ=0",98,28,8.0482,0.9032,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCCN1"
"BC-Enum-SB  λ=0",98,29,7.8125,0.8244,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3cccnc3F)nc2c1"
"BC-Enum-SB  λ=0",98,30,7.7806,0.8244,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3cccnc3F)[nH]c2c1"
"BC-Enum-SB  λ=0",98,31,7.8307,0.8140,94.0248,"NC(c1ccccc1)c1nc2ccc(C(=O)NCc3cn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)c4ccccc34)cc2[nH]1"
"BC-Enum-SB  λ=0",98,32,7.7938,0.7778,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)Nc1ccccc1"
"BC-Enum-SB  λ=0",98,33,7.8940,0.8140,94.0248,"NC(c1ccccc1)c1nc2cc(C(=O)NCc3cn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)c4ccccc34)ccc2[nH]1"
"BC-Enum-SB  λ=0",98,34,8.0408,0.8538,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1Cc2ccccc2CN1"
"BC-Enum-SB  λ=0",98,35,7.9635,0.8203,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(C3CCCNC3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,36,7.8994,0.8385,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)Nc1ccnc2ccccc12"
"BC-Enum-SB  λ=0",98,37,7.8828,0.8385,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)Nc1ccnc2ccccc12"
"BC-Enum-SB  λ=0",98,38,7.8148,0.7800,94.0248,"O=C(NCc1ccccc1)NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12"
"BC-Enum-SB  λ=0",98,39,7.9738,0.8203,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(C3CCCNC3)nc2c1"
"BC-Enum-SB  λ=0",98,40,7.9990,0.8538,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1Cc2ccccc2CN1"
"BC-Enum-SB  λ=0",98,41,7.8289,0.8433,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NCc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=0",98,42,7.7777,0.8359,94.0248,"CC(NC(=O)Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1N)c1ccccc1"
"BC-Enum-SB  λ=0",98,43,8.0500,0.8511,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCNCC1"
"BC-Enum-SB  λ=0",98,44,7.8213,0.8359,94.0248,"CC(NC(=O)Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1N)c1ccccc1"
"BC-Enum-SB  λ=0",98,45,7.8042,0.8125,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccccc3Br)[nH]c2c1"
"BC-Enum-SB  λ=0",98,46,8.1209,0.9068,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(C3CCCN3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,47,8.1459,0.9068,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(C3CCCN3)nc2c1"
"BC-Enum-SB  λ=0",98,48,7.8118,0.8333,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccccc3Br)nc2c1"
"BC-Enum-SB  λ=0",98,49,7.8729,0.8346,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)Nc1cccc2ccccc12"
"BC-Enum-SB  λ=0",98,50,7.9444,0.8443,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3cccnc3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,51,7.8182,0.8346,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)Nc1cccc2ccccc12"
"BC-Enum-SB  λ=0",98,52,8.0768,0.7755,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)NC1CC1"
"BC-Enum-SB  λ=0",98,53,7.9888,0.8374,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3cccnc3)nc2c1"
"BC-Enum-SB  λ=0",98,54,7.8027,0.8226,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NCc1ccco1"
"BC-Enum-SB  λ=0",98,55,7.8196,0.8618,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc2c1"
"BC-Enum-SB  λ=0",98,56,7.9377,0.8175,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccccn3)nc2c1"
"BC-Enum-SB  λ=0",98,57,7.8943,0.8306,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C(N)c1ccccc1"
"BC-Enum-SB  λ=0",98,58,7.8665,0.8306,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C(N)c1ccccc1"
"BC-Enum-SB  λ=0",98,59,7.9003,0.8175,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccccn3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,60,7.7842,0.8607,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccc(C(F)(F)F)cc3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,61,8.2442,0.9032,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCN1"
"BC-Enum-SB  λ=0",98,62,8.3016,0.8511,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CNC1"
"BC-Enum-SB  λ=0",98,63,7.9272,0.8739,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccncc3)nc2c1"
"BC-Enum-SB  λ=0",98,64,7.8051,0.8306,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)Nc1ccccn1"
"BC-Enum-SB  λ=0",98,65,7.8123,0.8306,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)Nc1ccccn1"
"BC-Enum-SB  λ=0",98,66,7.7503,0.8333,94.0248,"Nc1ccccc1-c1nc2cc(C(=O)NCc3cn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)c4ccccc34)ccc2[nH]1"
"BC-Enum-SB  λ=0",98,67,7.8107,0.8739,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccc(F)cc3)nc2c1"
