cum_reactions,n_reagents,named_reaction,parent,parent_input,reactions_added,reagents,reward,smiles,step,template_id
43,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=CC1CCCCC1,0.8516,Oc1ccc(CCN(CC2CCCCC2)CC2CCN2)cc1,21,70
44,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1nc2ccccc2[nH]1,0.8317,Oc1ccc(CCN(Cc2nc3ccccc3[nH]2)CC2CCN2)cc1,22,70
45,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)C1CCN(Cc2c[nH]c3ccc(F)cc23)CC1,0.9967,Oc1ccc(CCN(CC2CCN(Cc3c[nH]c4ccc(F)cc34)CC2)CC2CCN2)cc1,23,139
46,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.9942,CCCNC(Cc1c[nH]c2ccccc12)CN1CCC1CNCCc1ccc(O)cc1,24,139
47,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.994,NC(Cc1c[nH]c2ccccc12)CN(CCc1ccc(O)cc1)CC1CCN1,25,139
48,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1cccc(N2CCNCC2)c1C(=O)O,0.9783,Nc1cccc(N2CCNCC2)c1CN1CCC1CNCCc1ccc(O)cc1,26,139
49,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,COc1ccccc1CCNCC[C@H](N)C(=O)O,0.9744,COc1ccccc1CCNCCC(N)CN1CCC1CNCCc1ccc(O)cc1,27,139
50,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)c1cccc(N=C=S)c1,0.9737,Oc1ccc(CCNCC2CCN2Cc2cccc(N=C=S)c2)cc1,28,139
51,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1cccc(N2CCNCC2)c1C(=O)O,0.971,Nc1cccc(N2CCNCC2)c1CN(CCc1ccc(O)cc1)CC1CCN1,29,139
52,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1cc(NCC(=O)O)ccc1O,0.9428,Nc1cc(NCCN(CCc2ccc(O)cc2)CC2CCN2)ccc1O,30,139
53,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Cc1sc(Cl)nc1C(=O)O,0.9422,Cc1sc(Cl)nc1CN(CCc1ccc(O)cc1)CC1CCN1,31,139
54,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,0.9103,NC(Cc1ccc([N+](=O)[O-])cc1)CN1CCC1CNCCc1ccc(O)cc1,32,139
55,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)[C@H]1Cc2ccc(O)cc2C([C@@H]2CCCN2)=N1,0.9102,Oc1ccc(CCNCC2CCN2CC2Cc3ccc(O)cc3C(C3CCCN3)=N2)cc1,33,139
56,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)c1ncccc1C(F)(F)F,0.9013,Oc1ccc(CCNCC2CCN2Cc2ncccc2C(F)(F)F)cc1,34,139
57,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N[C@@H](CCC(=O)O)C(=O)O,0.8925,NC(CCCN(CCc1ccc(O)cc1)CC1CCN1)C(=O)O,35,139
58,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,NCCc1ccccc1Br,0.9917,NCCc1ccccc1N1CCC1CNCCc1ccc(O)cc1,36,114
59,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1c[nH]c2ccc(Br)cc12,0.9826,O=Cc1c[nH]c2ccc(N3CCC3CNCCc3ccc(O)cc3)cc12,37,114
60,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N#Cc1cc(N)cc(Br)c1,0.9754,N#Cc1cc(N)cc(N2CCC2CNCCc2ccc(O)cc2)c1,38,114
61,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Cc1cnc(F)cc1I,0.947,Cc1cnc(F)cc1N1CCC1CNCCc1ccc(O)cc1,39,110
62,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,NCCc1ccccc1Br,0.9413,NCCc1ccccc1N(CCc1ccc(O)cc1)CC1CCN1,40,114
63,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1nc(Br)cs1,0.9054,Nc1nc(N2CCC2CNCCc2ccc(O)cc2)cs1,41,114
64,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Fc1ccc2[nH]cc(C3NCCc4c(Br)cccc43)c2c1,0.8359,Oc1ccc(CCNCC2CCN2c2cccc3c2CCNC3c2c[nH]c3ccc(F)cc23)cc1,42,114
65,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CCCNc1c(N)cccc1Br,0.8164,CCCNc1c(N)cccc1N(CCc1ccc(O)cc1)CC1CCN1,43,114
66,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1ccnc(Br)c1F,0.8126,O=Cc1ccnc(N2CCC2CNCCc2ccc(O)cc2)c1F,44,114
67,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1c[nH]c2ccc(Br)cc12,0.7966,O=Cc1c[nH]c2ccc(N(CCc3ccc(O)cc3)CC3CCN3)cc12,45,114
68,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,C=CCNc1ccc(Br)cc1O,0.7877,C=CCNc1ccc(N(CCc2ccc(O)cc2)CC2CCN2)cc1O,46,114
69,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N#Cc1cc(N)cc(Br)c1,0.7471,N#Cc1cc(N)cc(N(CCc2ccc(O)cc2)CC2CCN2)c1,47,114
70,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Cc1cc(Br)cnc1F,0.6958,Cc1cc(N(CCc2ccc(O)cc2)CC2CCN2)cnc1F,48,114
71,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N#Cc1cccc(C(CBr)Nc2ccc(Br)cc2O)c1,0.6,N#Cc1cccc(C(CBr)Nc2ccc(N3CCC3CNCCc3ccc(O)cc3)cc2O)c1,49,114
72,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1cc(Br)n[nH]1,0.5501,Nc1cc(N(CCc2ccc(O)cc2)CC2CCN2)n[nH]1,50,114
73,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Oc1c(Br)c(C(F)(F)F)nc2ccccc12,0.5422,Oc1ccc(CCNCC2CCN2c2c(C(F)(F)F)nc3ccccc3c2O)cc1,51,114
74,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Cc1ccnc(Br)c1N,0.5187,Cc1ccnc(N(CCc2ccc(O)cc2)CC2CCN2)c1N,52,114
75,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1ccc(C(=O)O)cc1Br,0.9273,Nc1ccc(C(=O)N2CCC2CNCCc2ccc(O)cc2)cc1Br,53,79
76,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.8126,O=C(C1Cc2ccccc2CN1)N1CCC1CNCCc1ccc(O)cc1,54,79
77,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1ccc(C(=O)O)cc1Br,0.8015,Nc1ccc(C(=O)N(CCc2ccc(O)cc2)CC2CCN2)cc1Br,55,79
78,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N[C@@H](Cc1c[nH]cn1)C(=O)O,0.7384,NC(Cc1c[nH]cn1)C(=O)N1CCC1CNCCc1ccc(O)cc1,56,79
79,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.7044,O=C(C1Cc2ccccc2CN1)N(CCc1ccc(O)cc1)CC1CCN1,57,79
80,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)c1ccccc1CCl,0.689,O=C(c1ccccc1CCl)N(CCc1ccc(O)cc1)CC1CCN1,58,79
81,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Cc1sc(Cl)nc1C(=O)O,0.6832,Cc1sc(Cl)nc1C(=O)N1CCC1CNCCc1ccc(O)cc1,59,79
82,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=C(O)c1cc(B(O)O)ccc1F,0.5963,O=C(c1cc(B(O)O)ccc1F)N1CCC1CNCCc1ccc(O)cc1,60,79
83,1,Amide coupling,Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,N[C@@H](Cc1c[nH]cn1)C(=O)O,0.5179,NC(Cc1c[nH]cn1)C(=O)N(CCc1ccc(O)cc1)CC1CCN1,61,79
84,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,NCCc1c[nH]c2ccc(O)cc12,0.8664,O=C(NCCc1c[nH]c2ccc(O)cc12)N1CCC1CNCCc1ccc(O)cc1,62,126
85,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,C=CCNc1ccc(Br)cc1O,0.7935,C=CCN(C(=O)N1CCC1CNCCc1ccc(O)cc1)c1ccc(Br)cc1O,63,129
86,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CCCNc1c(N)cccc1Br,0.7471,CCCN(C(=O)N1CCC1CNCCc1ccc(O)cc1)c1c(N)cccc1Br,64,129
87,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,C=CCNc1ccc(Br)cc1O,0.6614,C=CCN(C(=O)N(CCc1ccc(O)cc1)CC1CCN1)c1ccc(Br)cc1O,65,129
88,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,Nc1cc(F)c(F)cc1O,0.6182,O=C(Nc1cc(F)c(F)cc1O)N1CCC1CNCCc1ccc(O)cc1,66,126
89,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CC[C@H](N)CN1CCCCC1,0.611,CCC(CN1CCCCC1)NC(=O)N1CCC1CNCCc1ccc(O)cc1,67,126
90,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CCCNc1c(N)cccc1Br,0.6036,CCCN(C(=O)N(CCc1ccc(O)cc1)CC1CCN1)c1c(N)cccc1Br,68,129
91,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,NCCN1CCNCC1,0.5788,NCCN1CCN(C(=O)N2CCC2CNCCc2ccc(O)cc2)CC1,69,129
92,1,Urea formation (amine + amine),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CC[C@H](N)CN1CCCCC1,0.5077,CCC(CN1CCCCC1)NC(=O)N(CCc1ccc(O)cc1)CC1CCN1,70,126
94,1,Direct acid -> amine (reductive),O=C(O)CNC1CCC1,O=C(O)CNC1CCC1,2,Fc1ccc2[nH]cc(C3NCCc4c(Br)cccc43)c2c1,1.0,Fc1ccc2[nH]cc(C3c4cccc(Br)c4CCN3CCNC3CCC3)c2c1,71,138
95,1,Direct acid -> amine (reductive),O=C(O)CNC1CCC1,O=C(O)CNC1CCC1,1,CCCNCCc1c[nH]c2ccc(O)cc12,0.992,CCCN(CCNC1CCC1)CCc1c[nH]c2ccc(O)cc12,72,138
96,1,Direct acid -> amine (reductive),O=C(O)CNC1CCC1,O=C(O)CNC1CCC1,1,NCc1ccc(O)cc1,0.5657,Oc1ccc(CNCCNC2CCC2)cc1,73,136
97,1,Direct acid -> amine (reductive),O=C(O)CNC1CCC1,O=C(O)CNC1CCC1,1,NCCc1ccccc1,0.5609,c1ccc(CCNCCNC2CCC2)cc1,74,136
98,1,Direct acid -> amine (reductive),O=C(O)CNC1CCC1,O=C(O)CNC1CCC1,1,CCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.534,CCCNC(Cc1c[nH]c2ccccc12)CN(CC(=O)O)C1CCC1,75,139
100,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,2,Nc1c(F)cccc1C(=O)O,1.0,Nc1c(F)cccc1CN1CCCC1CNCCc1ccc(O)cc1,76,139
101,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,N[C@@H](Cc1cccs1)C(=O)O,0.9954,NC(Cc1cccs1)CN1CCCC1CNCCc1ccc(O)cc1,77,139
102,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Nc1c(F)cccc1C(=O)O,0.9917,Nc1c(F)cccc1CN(CCc1ccc(O)cc1)CC1CCCN1,78,139
103,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)c1cc(Br)cc(B(O)O)c1,0.9916,OB(O)c1cc(Br)cc(CN2CCCC2CNCCc2ccc(O)cc2)c1,79,139
104,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Nc1cc(NCC(=O)O)ccc1O,0.9806,Nc1cc(NCCN2CCCC2CNCCc2ccc(O)cc2)ccc1O,80,139
105,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)c1cc(Br)cc(B(O)O)c1,0.9794,OB(O)c1cc(Br)cc(CN(CCc2ccc(O)cc2)CC2CCCN2)c1,81,139
106,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.9768,Oc1ccc(CCN(CC2CCCN2)CC2Cc3ccccc3CN2)cc1,82,139
107,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,N[C@@H](Cc1cccs1)C(=O)O,0.9712,NC(Cc1cccs1)CN(CCc1ccc(O)cc1)CC1CCCN1,83,139
108,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)[C@@H]1C[C@@H](O)CN1,0.9216,Oc1ccc(CCNCC2CCCN2CC2CC(O)CN2)cc1,84,139
109,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)c1cc(C(F)(F)F)ccn1,0.8501,Oc1ccc(CCN(Cc2cc(C(F)(F)F)ccn2)CC2CCCN2)cc1,85,139
110,1,Direct acid -> amine (reductive),Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,C=CCNCCC(=O)O,0.7862,C=CCNCCCN(CCc1ccc(O)cc1)CC1CCCN1,86,139
111,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Nc1cccc(Br)c1O,0.985,Nc1cccc(N2CCCC2CNCCc2ccc(O)cc2)c1O,87,114
112,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,C=CCNc1ccc(Br)cc1O,0.9511,C=CCNc1ccc(N2CCCC2CNCCc2ccc(O)cc2)cc1O,88,114
113,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Cc1c[nH]c(Br)n1,0.8757,Cc1c[nH]c(N2CCCC2CNCCc2ccc(O)cc2)n1,89,114
114,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=Cc1ccnc(Br)c1,0.8191,O=Cc1ccnc(N2CCCC2CNCCc2ccc(O)cc2)c1,90,114
115,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Nc1cc(Br)ccc1O,0.7994,Nc1cc(N(CCc2ccc(O)cc2)CC2CCCN2)ccc1O,91,114
116,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Fc1ccc2[nH]cc(C3NCCc4c(Br)cccc43)c2c1,0.7283,Oc1ccc(CCN(CC2CCCN2)c2cccc3c2CCNC3c2c[nH]c3ccc(F)cc23)cc1,92,114
117,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,O=C(O)c1cc(Br)cc(B(O)O)c1,0.6779,O=C(O)c1cc(B(O)O)cc(N2CCCC2CNCCc2ccc(O)cc2)c1,93,114
118,1,Buchwald-Hartwig amination,Oc1ccc(CCNCC2CCCN2)cc1,Oc1ccc(CCNC[C@@H]2CCCN2)cc1,1,Brc1cnc2cccnn12,0.5372,Oc1ccc(CCNCC2CCCN2c2cnc3cccnn23)cc1,94,114
120,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,2,Oc1ccc2c(c1)C(c1c[nH]c3ccc(F)cc13)NCC2,1.0,NCCCN1CCC(N2CCc3ccc(O)cc3C2c2c[nH]c3ccc(F)cc23)C1,95,75
121,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,N#Cc1cccc(C(CBr)Nc2ccc(Br)cc2O)c1,1.0,N#Cc1cccc(C(CBr)N(c2ccc(Br)cc2O)C2CCN(CCCN)C2)c1,96,75
122,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,COc1ccccc1CCNc1cc(F)ccc1C(=O)CCl,0.9974,COc1ccccc1CCN(c1cc(F)ccc1C(=O)CCl)C1CCN(CCCN)C1,97,75
123,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,NCCc1c[nH]c2ccc(O)cc12,0.9885,NCCCN1CCC(NCCc2c[nH]c3ccc(O)cc23)C1,98,73
124,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,COc1ccccc1CCNc1cc(F)ccc1C(=O)CCl,0.9808,COc1ccccc1CCNc1cc(F)ccc1C(CCl)NCCCN1CCC(=O)C1,99,72
125,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,NCc1cccc(O)c1,0.8475,NCCCN1CCC(NCc2cccc(O)c2)C1,100,73
126,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,COc1ccccc1CCN,0.8172,COc1ccccc1CCNC1CCN(CCCN)C1,101,73
127,1,Reductive amination (ketone),NCCCN1CCC(=O)C1,NCCCN1CCC(=O)C1,1,O=C(O)[C@H]1Cc2ccc(O)cc2C([C@@H]2CCCN2)=N1,0.7192,NCCCN1CCC(N2CCCC2C2=NC(C(=O)O)Cc3ccc(O)cc32)C1,102,75
