cutoff,molecule,step,reaction,input,reactants,product
0.50,Molecule B (sEH 7.761),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(Cn2cc(CCNC(=O)C3CNC3)c3ccccc32)cc1,ClCC1CC1,O=C(NCCc1cn(Cc2ccc(-c3nnnn3CC3CC3)cc2)c2ccccc12)C1CNC1
0.55,Molecule A (sEH 7.858),1,Amide coupling (acid + secondary amine → tertiary amide) [t139],O=C(O)C1CCNCC1,N#Cc1ccc(C(=O)O)cn1,N#Cc1ccc(CN2CCC(C(=O)O)CC2)cn1
0.55,Molecule A (sEH 7.858),2,Amide coupling (acid + amine) [t76],N#Cc1ccc(CN2CCC(C(=O)O)CC2)cn1,NCCc1c[nH]c2ccccc12,N#Cc1ccc(CN2CCC(C(=O)NCCc3c[nH]c4ccccc34)CC2)cn1
0.55,Molecule A (sEH 7.858),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(CN2CCC(C(=O)NCCc3c[nH]c4ccccc34)CC2)cn1,ClCC1CC1,O=C(NCCc1c[nH]c2ccccc12)C1CCN(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)CC1
0.55,Molecule B (sEH 7.51),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],N#Cc1ccc(C(=O)O)cn1,Nc1c(O)cccc1C(=O)O,N#Cc1ccc(-c2nc3c(C(=O)O)cccc3o2)cn1
0.55,Molecule B (sEH 7.51),2,Amide coupling (acid + amine) [t76],N#Cc1ccc(-c2nc3c(C(=O)O)cccc3o2)cn1,NCCc1c[nH]c2ccccc12,N#Cc1ccc(-c2nc3c(C(=O)NCCc4c[nH]c5ccccc45)cccc3o2)cn1
0.55,Molecule B (sEH 7.51),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(-c2nc3c(C(=O)NCCc4c[nH]c5ccccc45)cccc3o2)cn1,ClCC1CC1,O=C(NCCc1c[nH]c2ccccc12)c1cccc2oc(-c3ccc(-c4nnn(CC5CC5)n4)nc3)nc12
0.60,Shared steps (built once),1,Buchwald–Hartwig amination (aryl halide + amine) [t113],Nc1cc(Br)ccc1O,NCc1c[nH]c2ccccc12,Nc1cc(NCc2c[nH]c3ccccc23)ccc1O
0.60,Molecule A (sEH 8.137) — continues from the shared intermediate,2,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],O=C(O)C1CCN1,Nc1cc(NCc2c[nH]c3ccccc23)ccc1O,c1ccc2c(CNc3ccc4oc(C5CCN5)nc4c3)c[nH]c2c1
0.60,Molecule A (sEH 8.137) — continues from the shared intermediate,3,N-alkylation (ring N–H + hub alkyl halide),c1ccc2c(CNc3ccc4oc(C5CCN5)nc4c3)c[nH]c2c1,ClCC1CC1,c1ccc2c(c1)c(CNc1ccc3oc(C4CCN4)nc3c1)cn2CC1CC1
0.60,Molecule B (sEH 7.13) — continues from the shared intermediate,2,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],Nc1cc(C(=O)O)ccc1O,Nc1cc(NCc2c[nH]c3ccccc23)ccc1O,Nc1cc(-c2nc3cc(NCc4c[nH]c5ccccc45)ccc3o2)ccc1O
0.60,Molecule B (sEH 7.13) — continues from the shared intermediate,3,N-alkylation (ring N–H + hub alkyl halide),Nc1cc(-c2nc3cc(NCc4c[nH]c5ccccc45)ccc3o2)ccc1O,ClCC1CC1,Nc1cc(-c2nc3cc(NCc4cn(CC5CC5)c5ccccc45)ccc3o2)ccc1O
0.65,Molecule A (sEH 7.724),1,Suzuki coupling (biaryl bond) [t86],N#Cc1cccc(B(O)O)c1,Nc1cc(Br)n[nH]1,N#Cc1cccc(-c2cc(N)[nH]n2)c1
0.65,Molecule A (sEH 7.724),2,Reductive amination (aldehyde + amine) [t68],N#Cc1cccc(-c2cc(N)[nH]n2)c1,O=Cc1nc2ccccc2[nH]1,N#Cc1cccc(-c2cc(NCc3nc4ccccc4[nH]3)[nH]n2)c1
0.65,Molecule A (sEH 7.724),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1cccc(-c2cc(NCc3nc4ccccc4[nH]3)[nH]n2)c1,ClCC1CC1,c1cc(-c2cc(NCc3nc4ccccc4[nH]3)[nH]n2)cc(-c2nnn(CC3CC3)n2)c1
0.65,Molecule B (sEH 7.676),1,Reductive amination (aldehyde + amine) [t69],O=Cc1nc2ccccc2[nH]1,Nc1ccc(Br)cc1,Brc1ccc(NCc2nc3ccccc3[nH]2)cc1
0.65,Molecule B (sEH 7.676),2,Suzuki coupling (biaryl bond) [t86],N#Cc1cccc(B(O)O)c1,Brc1ccc(NCc2nc3ccccc3[nH]2)cc1,N#Cc1cccc(-c2ccc(NCc3nc4ccccc4[nH]3)cc2)c1
0.65,Molecule B (sEH 7.676),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1cccc(-c2ccc(NCc3nc4ccccc4[nH]3)cc2)c1,ClCC1CC1,c1cc(-c2ccc(NCc3nc4ccccc4[nH]3)cc2)cc(-c2nnn(CC3CC3)n2)c1
0.70,Molecule A (sEH 7.981),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],O=C(O)C1CNC1,Nc1cc(Br)ccc1O,Brc1ccc2oc(C3CNC3)nc2c1
0.70,Molecule A (sEH 7.981),2,Suzuki coupling (biaryl bond) [t86],OB(O)c1ccc2[nH]ccc2c1,Brc1ccc2oc(C3CNC3)nc2c1,c1cc2cc(-c3ccc4oc(C5CNC5)nc4c3)ccc2[nH]1
0.70,Molecule A (sEH 7.981),3,N-alkylation (ring N–H + hub alkyl halide),c1cc2cc(-c3ccc4oc(C5CNC5)nc4c3)ccc2[nH]1,ClCC1CC1,c1cc2c(ccn2CC2CC2)cc1-c1ccc2oc(C3CNC3)nc2c1
0.70,Molecule B (sEH 7.954),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t180],Nc1ccc(Br)cc1O,O=C(O)C1CNC1,Brc1ccc2nc(C3CNC3)oc2c1
0.70,Molecule B (sEH 7.954),2,Suzuki coupling (biaryl bond) [t86],OB(O)c1ccc2[nH]ccc2c1,Brc1ccc2nc(C3CNC3)oc2c1,c1cc2cc(-c3ccc4nc(C5CNC5)oc4c3)ccc2[nH]1
0.70,Molecule B (sEH 7.954),3,N-alkylation (ring N–H + hub alkyl halide),c1cc2cc(-c3ccc4nc(C5CNC5)oc4c3)ccc2[nH]1,ClCC1CC1,c1cc2c(ccn2CC2CC2)cc1-c1ccc2nc(C3CNC3)oc2c1
0.75,Molecule A (sEH 8.271),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],O=C(O)C1CNC1,Nc1ccc(C(=O)O)cc1O,O=C(O)c1ccc2nc(C3CNC3)oc2c1
0.75,Molecule A (sEH 8.271),2,Amide coupling (acid + amine) [t76],O=C(O)c1ccc2nc(C3CNC3)oc2c1,NCc1c[nH]c2ccccc12,O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1
0.75,Molecule A (sEH 8.271),3,N-alkylation (ring N–H + hub alkyl halide),O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1,ClCC1CC1,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2nc(C3CNC3)oc2c1
0.75,Molecule B (sEH 8.228),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],O=C(O)C1CNC1,Nc1cc(C(=O)O)ccc1O,O=C(O)c1ccc2oc(C3CNC3)nc2c1
0.75,Molecule B (sEH 8.228),2,Amide coupling (acid + amine) [t76],O=C(O)c1ccc2oc(C3CNC3)nc2c1,NCc1c[nH]c2ccccc12,O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CNC3)nc2c1
0.75,Molecule B (sEH 8.228),3,N-alkylation (ring N–H + hub alkyl halide),O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CNC3)nc2c1,ClCC1CC1,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2oc(C3CNC3)nc2c1
0.80,Molecule A (sEH 7.72),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],N#Cc1ccc(C(=O)O)cn1,Nc1cc(C(=O)O)ccc1O,N#Cc1ccc(-c2nc3cc(C(=O)O)ccc3o2)cn1
0.80,Molecule A (sEH 7.72),2,Amide coupling (acid + amine) [t137],Nc1cccc2cc[nH]c12,N#Cc1ccc(-c2nc3cc(C(=O)O)ccc3o2)cn1,N#Cc1ccc(-c2nc3cc(CNc4cccc5cc[nH]c45)ccc3o2)cn1
0.80,Molecule A (sEH 7.72),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(-c2nc3cc(CNc4cccc5cc[nH]c45)ccc3o2)cn1,ClCC1CC1,c1cc(NCc2ccc3oc(-c4ccc(-c5nnn(CC6CC6)n5)nc4)nc3c2)c2[nH]ccc2c1
0.80,Molecule B (sEH 7.656),1,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],N#Cc1ccc(C(=O)O)cn1,Nc1ccc(C(=O)O)cc1O,N#Cc1ccc(-c2nc3ccc(C(=O)O)cc3o2)cn1
0.80,Molecule B (sEH 7.656),2,Amide coupling (acid + amine) [t136],N#Cc1ccc(-c2nc3ccc(C(=O)O)cc3o2)cn1,Nc1cccc2cc[nH]c12,N#Cc1ccc(-c2nc3ccc(CNc4cccc5cc[nH]c45)cc3o2)cn1
0.80,Molecule B (sEH 7.656),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(-c2nc3ccc(CNc4cccc5cc[nH]c45)cc3o2)cn1,ClCC1CC1,c1cc(NCc2ccc3nc(-c4ccc(-c5nnn(CC6CC6)n5)nc4)oc3c2)c2[nH]ccc2c1
0.85,Shared steps (built once),1,N-alkylation (ring N–H + alkyl halide) [t202],NCc1c[nH]c2ccccc12,N#Cc1ccc(CBr)cc1,N#Cc1ccc(Cn2cc(CN)c3ccccc32)cc1
0.85,Molecule A (sEH 7.909) — continues from the shared intermediate,2,Amide coupling (acid + amine) [t77],N#Cc1ccc(Cn2cc(CN)c3ccccc32)cc1,O=C(O)C1CNC1,N#Cc1ccc(Cn2cc(CNC(=O)C3CNC3)c3ccccc32)cc1
0.85,Molecule A (sEH 7.909) — continues from the shared intermediate,3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(Cn2cc(CNC(=O)C3CNC3)c3ccccc32)cc1,ClCC1CC1,O=C(NCc1cn(Cc2ccc(-c3nnnn3CC3CC3)cc2)c2ccccc12)C1CNC1
0.85,Molecule B (sEH 7.602) — continues from the shared intermediate,2,Amide coupling (acid + amine) [t76],O=C(O)C1CCNCC1,N#Cc1ccc(Cn2cc(CN)c3ccccc32)cc1,N#Cc1ccc(Cn2cc(CNC(=O)C3CCNCC3)c3ccccc32)cc1
0.85,Molecule B (sEH 7.602) — continues from the shared intermediate,3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(Cn2cc(CNC(=O)C3CCNCC3)c3ccccc32)cc1,ClCC1CC1,O=C(NCc1cn(Cc2ccc(-c3nnnn3CC3CC3)cc2)c2ccccc12)C1CCNCC1
0.90,Shared steps (built once),1,Buchwald–Hartwig amination (aryl halide + amine) [t113],Nc1cc(Br)ccc1O,NCc1c[nH]c2ccccc12,Nc1cc(NCc2c[nH]c3ccccc23)ccc1O
0.90,Molecule A (sEH 8.137) — continues from the shared intermediate,2,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t181],O=C(O)C1CCN1,Nc1cc(NCc2c[nH]c3ccccc23)ccc1O,c1ccc2c(CNc3ccc4oc(C5CCN5)nc4c3)c[nH]c2c1
0.90,Molecule A (sEH 8.137) — continues from the shared intermediate,3,N-alkylation (ring N–H + hub alkyl halide),c1ccc2c(CNc3ccc4oc(C5CCN5)nc4c3)c[nH]c2c1,ClCC1CC1,c1ccc2c(c1)c(CNc1ccc3oc(C4CCN4)nc3c1)cn2CC1CC1
0.90,Molecule B (sEH 7.937) — continues from the shared intermediate,2,Benzoxazole formation (2-aminophenol + acid/aldehyde) [t180],Nc1cc(NCc2c[nH]c3ccccc23)ccc1O,O=C(O)[C@@H]1CCCN1,c1ccc2c(CNc3ccc4oc([C@@H]5CCCN5)nc4c3)c[nH]c2c1
0.90,Molecule B (sEH 7.937) — continues from the shared intermediate,3,N-alkylation (ring N–H + hub alkyl halide),c1ccc2c(CNc3ccc4oc([C@@H]5CCCN5)nc4c3)c[nH]c2c1,ClCC1CC1,c1ccc2c(c1)c(CNc1ccc3oc(C4CCCN4)nc3c1)cn2CC1CC1
