recorded_amine,score_amine,counterfactual_amide,score_amide
O=C([C@H]1CCCN(C[C@@H]2Cc3ccccc3CN2)C1)N1CC(c2nc3cc(CNc4ccccn4)ccc3o2)C1,7.38025,O=C([C@H]1CCCN(C(=O)[C@@H]2Cc3ccccc3CN2)C1)N1CC(c2nc3cc(CNc4ccccn4)ccc3o2)C1,7.59853
C[C@@H](CNc1ccnc2ccccc12)NC(=O)c1ccc(C=O)cc1,3.431727,C[C@H](NC(=O)c1ccc(C=O)cc1)C(=O)Nc1ccnc2ccccc12,5.241496
Brc1ccc2nc([C@@H]3Cc4ccccc4CN3C[C@@H]3Cc4ccccc4CN3)[nH]c2c1,6.450706,O=C([C@@H]1Cc2ccccc2CN1)N1Cc2ccccc2C[C@H]1c1nc2ccc(Br)cc2[nH]1,6.242162
O=Cc1ccc(C(=O)N2CCC2c2nc3cc(NCC4CNC4)ccc3o2)cc1,6.631324,O=Cc1ccc(C(=O)N2CCC2c2nc3cc(NC(=O)C4CNC4)ccc3o2)cc1,6.857955
O=C(NC1(CNc2cccc3cc[nH]c23)CCC1)C1CN(C(=O)C2CNC2)C1,6.60806,O=C(NC1(C(=O)Nc2cccc3cc[nH]c23)CCC1)C1CN(C(=O)C2CNC2)C1,7.167982
O=C(Nc1ccc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1)Nc1cc(Br)n[nH]1,7.650274,O=C(Nc1ccc(-c2cccc(NC(=O)c3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1)Nc1cc(Br)n[nH]1,7.24212
C[C@@H](NCC1CCN1)c1nc2cc(Br)ccc2o1,5.955317,C[C@@H](NC(=O)C1CCN1)c1nc2cc(Br)ccc2o1,6.269232
Brc1cc(-c2nc3ccc(CNCCc4cn(CC5CC5)c5ccccc45)cc3o2)ccn1,7.116204,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1ccc2nc(-c3ccnc(Br)c3)oc2c1,7.362114
c1cc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)CC2CCN2)c2c(c1)ccn2CC1CC1,7.981205,O=C(C1CCN1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1cccc2ccn(CC3CC3)c12,7.9703
C[C@@H](NCc1cccc(-c2cc(-c3nc4ccccc4o3)ccn2)c1)c1ccccc1,6.784383,C[C@@H](NC(=O)c1cccc(-c2cc(-c3nc4ccccc4o3)ccn2)c1)c1ccccc1,6.971848
O=C(O)c1cccc(-c2ccccc2CCNC(=O)C2(NCc3ccc4[nH]c(C5CNC5)nc4c3)CCC2)c1,7.317747,O=C(O)c1cccc(-c2ccccc2CCNC(=O)C2(NC(=O)c3ccc4[nH]c(C5CNC5)nc4c3)CCC2)c1,7.320454
N#Cc1ccc(N2CC(CN3Cc4ccccc4C[C@H]3C(=O)O)C2)cc1,5.017309,N#Cc1ccc(N2CC(C(=O)N3Cc4ccccc4C[C@H]3C(=O)O)C2)cc1,5.42077
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CC(CNc2ccc(Br)cc2)C1)c1ccccn1,5.544394,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CC(C(=O)Nc2ccc(Br)cc2)C1)c1ccccn1,6.091645
c1cc(NCc2ccc(CO[C@H]3CN4CCC3CC4)cc2)cc(-c2csc(-c3ccc4[nH]ccc4c3)n2)c1,7.89419,O=C(Nc1cccc(-c2csc(-c3ccc4[nH]ccc4c3)n2)c1)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,7.960996
C[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1C[C@@H]1Cc2ccccc2CN1Cc1ccc2nc(C3CNC3)oc2c1)c1ccccc1,7.197922,C[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1C[C@@H]1Cc2ccccc2CN1C(=O)c1ccc2nc(C3CNC3)oc2c1)c1ccccc1,6.891016
O=C(NC1CC1)c1cccc(CN(CCc2ccccc2)Cc2ccc3nc([C@@H]4CCCN4)oc3c2)c1,7.423993,O=C(NC1CC1)c1cccc(CN(CCc2ccccc2)C(=O)c2ccc3nc([C@@H]4CCCN4)oc3c2)c1,7.219492
O=C(O)[C@@H]1CCCN1c1ccc2[nH]c(-c3ccc(CNc4ccc(Br)cc4)cc3)nc2c1,6.004438,O=C(Nc1ccc(Br)cc1)c1ccc(-c2nc3cc(N4CCC[C@H]4C(=O)O)ccc3[nH]2)cc1,5.982419
Nc1c(O)cccc1CNc1cccc(B(O)O)c1,3.386156,Nc1c(O)cccc1C(=O)Nc1cccc(B(O)O)c1,3.230441
O=C(Nc1ccnc2ccccc12)C1CCN(Cc2ccc3nc(-c4ccc(-c5nnn(CC6CC6)n5)nc4)oc3c2)CC1,8.102706,O=C(Nc1ccnc2ccccc12)C1CCN(C(=O)c2ccc3nc(-c4ccc(-c5nnn(CC6CC6)n5)nc4)oc3c2)CC1,7.918092
O=C(Nc1cccc2cc[nH]c12)C1CN(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)C1,7.662164,O=C(Nc1cccc2cc[nH]c12)C1CN(C(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)C1,7.287751
O=Cc1cccc(CN(Cc2cccc(-c3ccc(NC(=O)Nc4ccnc5ccccc45)cc3)c2)C23CC(C2)C3)c1,7.140224,O=Cc1cccc(CN(C(=O)c2cccc(-c3ccc(NC(=O)Nc4ccnc5ccccc45)cc3)c2)C23CC(C2)C3)c1,7.15685
Nc1cccc(-c2ccc(Nc3ccc(CNc4cccc(B(O)O)c4)cc3)cc2)c1,4.892697,Nc1cccc(-c2ccc(Nc3ccc(C(=O)Nc4cccc(B(O)O)c4)cc3)cc2)c1,4.903297
O=C(O)[C@H]1CCCN1Cc1cccnc1-c1cccc(NC[C@@H]2Cc3ccccc3CN2)c1,6.308053,O=C(O)[C@H]1CCCN1C(=O)c1cccnc1-c1cccc(NC[C@@H]2Cc3ccccc3CN2)c1,6.351058
O=C(NC1CC1)c1ccc2nc([C@H]3CCCN3C[C@@H]3Cc4ccccc4CN3)oc2c1,7.838156,O=C(NC1CC1)c1ccc2nc([C@H]3CCCN3C(=O)[C@@H]3Cc4ccccc4CN3)oc2c1,7.640561
NCc1cn(Cc2ccc(CNc3cccc(B(O)O)c3)cc2)c2ccccc12,4.441036,NCc1cn(Cc2ccc(C(=O)Nc3cccc(B(O)O)c3)cc2)c2ccccc12,4.426644
ClCc1ccc(-c2nc3ccc(-c4ccc(NCC5CCN5)cc4)cc3o2)cc1,7.265294,O=C(Nc1ccc(-c2ccc3nc(-c4ccc(CCl)cc4)oc3c2)cc1)C1CCN1,7.249766
O=C(NCCc1c[nH]c2ccccc12)C1CN(Cc2ccc3oc(C4CNC4)nc3c2)C1,7.608869,O=C(NCCc1c[nH]c2ccccc12)C1CN(C(=O)c2ccc3oc(C4CNC4)nc3c2)C1,7.545989
Fc1ccc(CN(Cc2ccc3oc(C4CN(C[C@H]5CCCNC5)C4)nc3c2)c2cccc3cc[nH]c23)cc1,5.84713,O=C([C@H]1CCCNC1)N1CC(c2nc3cc(CN(Cc4ccc(F)cc4)c4cccc5cc[nH]c45)ccc3o2)C1,6.766636
c1ccc2c(CNCc3ccc(-c4nc5cc(-c6nnn(CC7CC7)n6)ccc5[nH]4)cc3)c[nH]c2c1,7.778799,O=C(NCc1c[nH]c2ccccc12)c1ccc(-c2nc3cc(-c4nnn(CC5CC5)n4)ccc3[nH]2)cc1,7.874489
N[C@H](CNc1cccc2cc[nH]c12)c1ccccc1,4.015578,N[C@H](C(=O)Nc1cccc2cc[nH]c12)c1ccccc1,5.020956
C[C@@H](NCC1CCN1)C(=O)Nc1cccc(-c2c[nH]cn2)c1,6.056702,C[C@@H](NC(=O)C1CCN1)C(=O)Nc1cccc(-c2c[nH]cn2)c1,6.770666
O=Cc1ccc(CNc2cc(C(=O)O)ccc2NCC2CCN2)cc1,5.094058,O=Cc1ccc(CNc2cc(C(=O)O)ccc2NC(=O)C2CCN2)cc1,5.454232
C#CCNC(=O)C1(NCC2CCN2)CCC1,5.683945,C#CCNC(=O)C1(NC(=O)C2CCN2)CCC1,5.889958
OB(O)c1ccc(NC[C@H]2CCCN2)cc1,3.287697,O=C(Nc1ccc(B(O)O)cc1)[C@H]1CCCN1,4.185697
c1cc(CNCc2c[nH]c3ccccc23)cc(-c2cccc(NCC3CCN3)c2)c1,7.537331,O=C(Nc1cccc(-c2cccc(CNCc3c[nH]c4ccccc34)c2)c1)C1CCN1,7.764704
CC(C)[C@H](CNC12CC(C1)C2)NC(=O)Nc1cc(CN2CC(C(=O)O)C2)ccc1O,4.715246,CC(C)[C@H](CN(C(=O)C1CNC1)C12CC(C1)C2)NC(=O)Nc1cc(C(=O)O)ccc1O,5.500772
c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2ccc(NC[C@@H]3Cc4ccccc4CN3)cc2)c1,8.144972,O=C(Nc1ccc(-c2cccc(NCc3ccc4nc(C5CNC5)[nH]c4c3)c2)cc1)[C@@H]1Cc2ccccc2CN1,8.055324
Nc1ccccc1C(=O)N[C@H](CNc1cccc(B(O)O)c1)c1ccccc1,3.73053,Nc1ccccc1C(=O)N[C@H](C(=O)Nc1cccc(B(O)O)c1)c1ccccc1,3.945091
O=C(O)[C@H]1CCCN(Cc2ccc(F)cc2)C1,3.517215,O=C(O)[C@H]1CCCN(C(=O)c2ccc(F)cc2)C1,3.976678
N#Cc1ccc(CN2CC(c3nc4ccc(C(=O)NC5CC5)cc4o3)C2)cn1,7.205872,N#Cc1ccc(C(=O)N2CC(c3nc4ccc(C(=O)NC5CC5)cc4o3)C2)cn1,7.212102
O=C(Nc1cccc(-c2cc(NC[C@@H]3Cc4ccccc4CN3)[nH]n2)c1)c1cccc2oc(C3CNC3)nc12,8.110864,O=C(Nc1cccc(-c2cc(NC(=O)[C@@H]3Cc4ccccc4CN3)[nH]n2)c1)c1cccc2oc(C3CNC3)nc12,7.91397
O=C(C1CCN1)N(c1ccc(CNc2cccc(B(O)O)c2)cc1)C1CC1,5.048335,O=C(Nc1cccc(B(O)O)c1)c1ccc(N(C(=O)C2CCN2)C2CC2)cc1,5.054816
Nc1ccccc1CNc1ccc(NC[C@@H]2Cc3ccccc3CN2)cc1,6.426558,Nc1ccccc1C(=O)Nc1ccc(NC[C@@H]2Cc3ccccc3CN2)cc1,6.643139
O=Cc1cccc(-c2ccc(F)c(CNc3ccc(-c4ccc(CNC56CC(C5)C6)cc4)cc3)c2)c1,7.10931,O=Cc1cccc(-c2ccc(F)c(C(=O)Nc3ccc(-c4ccc(CNC56CC(C5)C6)cc4)cc3)c2)c1,7.326022
OB(O)c1cccc(NCc2ccc3nc(-c4ccc(CO[C@H]5CN6CCC5CC6)cc4)[nH]c3c2)c1,6.681314,O=C(Nc1cccc(B(O)O)c1)c1ccc2nc(-c3ccc(CO[C@H]4CN5CCC4CC5)cc3)[nH]c2c1,6.737443
O=C(c1ccc2oc([C@@H]3CCCNC3)nc2c1)N1CCC(CNCc2cn(CC3CC3)c3ccccc23)CC1,7.699219,O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCN(C(=O)c2ccc3oc([C@@H]4CCCNC4)nc3c2)CC1,7.855459
Brc1cncc(-c2nc3ccc(N4CCC4CNCCc4cn(CC5CC5)c5ccccc45)cc3[nH]2)c1,7.284038,O=C(NCCc1cn(CC2CC2)c2ccccc12)C1CCN1c1ccc2nc(-c3cncc(Br)c3)[nH]c2c1,7.473251
O=C(OCc1ccccc1-c1nnn(CC2CC2)n1)C1CCN(Cc2ccc3nc(C4CNC4)[nH]c3c2)CC1,6.585001,O=C(OCc1ccccc1-c1nnn(CC2CC2)n1)C1CCN(C(=O)c2ccc3nc(C4CNC4)[nH]c3c2)CC1,6.894189
c1cc(NCc2ccncc2)cc(-c2ccccc2CCNCc2ccc3nc(C4CNC4)oc3c2)c1,7.423279,O=C(NCCc1ccccc1-c1cccc(NCc2ccncc2)c1)c1ccc2nc(C3CNC3)oc2c1,7.57357
Nc1ccc(N2CC(Nc3cc(-c4cccc(CNCCc5c[nH]c6ccccc56)c4)n[nH]3)C2)cc1,6.678715,Nc1ccc(N2CC(Nc3cc(-c4cccc(C(=O)NCCc5c[nH]c6ccccc56)c4)n[nH]3)C2)cc1,7.030723
O=C(NCc1ccccc1)c1cccc(-c2cc(NC(=O)[C@@H]3CCCN(C[C@@H]4Cc5ccccc5CN4)C3)[nH]n2)c1,7.977362,O=C(NCc1ccccc1)c1cccc(-c2cc(NC(=O)[C@@H]3CCCN(C(=O)[C@@H]4Cc5ccccc5CN4)C3)[nH]n2)c1,7.911731
O=C(Nc1ccc(-c2ccc(NCC3CNC3)cc2)cc1)c1ccc2nc(C3CNC3)oc2c1,6.724172,O=C(Nc1ccc(-c2ccc(NC(=O)C3CNC3)cc2)cc1)c1ccc2nc(C3CNC3)oc2c1,4.335109
C[C@H](NCc1ccc2nc(C3CCN3)oc2c1)c1ccccc1,7.014525,C[C@H](NC(=O)c1ccc2nc(C3CCN3)oc2c1)c1ccccc1,7.266485
O=C(Nc1ccc(Br)cc1)N[C@@H](CNc1ccc(B(O)O)cc1)c1ccccc1,4.319373,O=C(Nc1ccc(Br)cc1)N[C@@H](C(=O)Nc1ccc(B(O)O)cc1)c1ccccc1,4.51564
Nc1ccc(N2CC(CNc3cccc(B(O)O)c3)C2)cc1,3.728718,Nc1ccc(N2CC(C(=O)Nc3cccc(B(O)O)c3)C2)cc1,4.379211
C[C@@H](NC(=O)c1ccccc1NC(=O)[C@@H]1Cc2ccccc2CN1C[C@@H]1Cc2ccccc2CN1)c1ccccc1,6.778492,C[C@@H](NC(=O)c1ccccc1NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H]1Cc2ccccc2CN1)c1ccccc1,6.623869
c1ccc(NCc2cccc(-c3cccc(NCC4CCN4C[C@@H]4Cc5ccccc5CN4)c3)c2)nc1,7.711939,O=C([C@@H]1Cc2ccccc2CN1)N(CC1CCN1)c1cccc(-c2cccc(CNc3ccccn3)c2)c1,7.667897
Nc1cccc(-c2cc(NCc3ccc4oc(-c5ccc(C(=O)NC6CC6)cc5)nc4c3)[nH]n2)c1,7.569244,Nc1cc(-c2cccc(NC(=O)c3ccc4oc(-c5ccc(C(=O)NC6CC6)cc5)nc4c3)c2)n[nH]1,7.054864
N#Cc1ccccc1Cn1cc(CCN(Cc2ccc3oc(C4CNC4)nc3c2)CC2CNC2)c2ccccc21,7.112275,N#Cc1ccccc1Cn1cc(CCN(CC2CNC2)C(=O)c2ccc3oc(C4CNC4)nc3c2)c2ccccc21,7.256675
O=C(O)c1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c(O)c1,6.527184,O=C(O)c1ccc(NC(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)c(O)c1,6.19686
O=Cc1cccc(C(=O)NC2(CNc3cc(-c4cccc(-c5nnn(CC6CC6)n5)c4)n[nH]3)CCC2)c1,7.056164,O=Cc1cccc(C(=O)NC2(C(=O)Nc3cc(-c4cccc(-c5nnn(CC6CC6)n5)c4)n[nH]3)CCC2)c1,7.299975
Fc1cc(-c2cccc(NCc3ccc4[nH]c(C5CNC5)nc4c3)c2)ccn1,7.582083,O=C(Nc1cccc(-c2ccnc(F)c2)c1)c1ccc2[nH]c(C3CNC3)nc2c1,7.348247
O=C(O)c1ccccc1NCc1ccc(CN[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1,4.69268,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc(CNc2ccccc2C(=O)O)cc1,4.744411
N[C@H](CNc1cccc2cc[nH]c12)c1ccccc1,4.015578,N[C@H](C(=O)Nc1cccc2cc[nH]c12)c1ccccc1,5.020956
O=c1cc(COC[C@@H]2CCCN2C[C@@H]2Cc3ccccc3CN2)c2ccccc2n1Cc1ccc(-c2nnn(CC3CC3)n2)cc1,7.822099,O=C([C@@H]1Cc2ccccc2CN1)N1CCC[C@H]1COCc1cc(=O)n(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,7.906366
Fc1cccc(CNc2ccc(-c3ccc(NCc4ccc5oc(C6CNC6)nc5c4)cc3)cn2)n1,7.733763,O=C(Nc1ccc(-c2ccc(NCc3cccc(F)n3)nc2)cc1)c1ccc2oc(C3CNC3)nc2c1,7.44558
N[C@@H](CNc1cccc(B(O)O)c1)Cc1ccccc1,2.306585,N[C@H](Cc1ccccc1)C(=O)Nc1cccc(B(O)O)c1,2.905464
O=C=Nc1ccc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1,7.409492,O=C=Nc1ccc(-c2cccc(NC(=O)c3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1,6.77491
O=C(O)c1ccc(NCc2ccc3[nH]c(C4CCN4)nc3c2)c(O)c1,6.113391,O=C(O)c1ccc(NC(=O)c2ccc3[nH]c(C4CCN4)nc3c2)c(O)c1,5.85984
OB(O)c1cccc(NCc2ccc(Cn3nnc(-c4cccc(B(O)O)c4)n3)cc2)c1,4.231795,O=C(Nc1cccc(B(O)O)c1)c1ccc(Cn2nnc(-c3cccc(B(O)O)c3)n2)cc1,4.231873
O=C(O)c1cccc(-c2ccc3nc([C@@H]4Cc5ccccc5CN4Cc4ccccc4CCl)[nH]c3c2)c1,5.701572,O=C(O)c1cccc(-c2ccc3nc([C@@H]4Cc5ccccc5CN4C(=O)c4ccccc4CCl)[nH]c3c2)c1,5.236307
COc1ccc(CNc2ccc3nc([C@@H]4Cc5ccccc5CN4Cc4ccc(-c5nnn(CC6CC6)n5)nc4)oc3c2)cc1,7.64366,COc1ccc(CN(C(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)c2ccc3nc([C@@H]4Cc5ccccc5CN4)oc3c2)cc1,7.467143
Brc1ccc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3nc(C4CCN4)oc3c2)cc1,7.632475,O=C(c1ccc2nc(C3CCN3)oc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1,7.663153
O=C(NCc1c[nH]c2ccccc12)C1CN(C(=O)C2(NC[C@@H](Cc3c[nH]c4ccccc34)NC[C@@H]3Cc4ccccc4CN3)CCC2)C1,7.228555,O=C(NCc1c[nH]c2ccccc12)C1CN(C(=O)C2(NC[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]3Cc4ccccc4CN3)CCC2)C1,7.232166
Brc1cc(NCC2CCN2Cc2ccccc2CO[C@@H]2CCNC2)[nH]n1,5.422062,O=C(Nc1cc(Br)n[nH]1)C1CCN1Cc1ccccc1CO[C@@H]1CCNC1,5.614181
O=C(c1cccc(B(O)O)c1)N1CCC(CNC2CC2)CC1,3.535569,O=C(NC1CC1)C1CCN(C(=O)c2cccc(B(O)O)c2)CC1,4.458522
O=C(O)[C@H]1CCCN1C(=O)c1cccc(CNC2(CNC34CC(C3)C4)CCC2)c1,5.039881,O=C(NC12CC(C1)C2)[C@H]1CCCN1C(=O)c1cccc(CNC2(C(=O)O)CCC2)c1,5.526425
c1ccc2c(c1)CN[C@H](CN(c1ccc(-c3nnn(CC4CC4)n3)cc1)c1cccc3ccn(CC4CC4)c13)C2,7.784417,O=C([C@@H]1Cc2ccccc2CN1)N(c1ccc(-c2nnn(CC3CC3)n2)cc1)c1cccc2ccn(CC3CC3)c12,7.563365
O=C(Nc1cccc(-c2cccc(-c3nc4ccccc4o3)c2)c1)C1CN(C[C@@H]2Cc3ccccc3CN2)C1,7.926864,O=C(Nc1cccc(-c2cccc(-c3nc4ccccc4o3)c2)c1)C1CN(C(=O)[C@@H]2Cc3ccccc3CN2)C1,7.882059
O=C(O)C1CN(Cc2ccc3oc(C4CNC4)nc3c2)C1,5.808597,O=C(O)C1CN(C(=O)c2ccc3oc(C4CNC4)nc3c2)C1,6.464851
